0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.6568798,0.40314603,0.31537864,0.5465491,0.65406424,0.42110658,-0.64498496,0.4969983,-0.27316505,-0.53261876,-0.7170242,-0.37793392,-0.25012466,-0.57494164,0.66615283,-0.4166094
-0.65994364,0.65868515,0.14461377,-0.27330008,-0.57728225,-0.6681905,0.306009,-0.6277249,-0.74018085,-0.58165395,0.035769135,-0.47143313,0.5239541,-0.61934096,-0.3870098,0.5838162
-0.26354894,0.4784683,-0.24660341,-0.44803157,0.39260316,0.47875655,0.274832,-0.37145007,0.23444833,-0.54494417,-0.38084704,0.30923292,-0.53971726,-0.35892898,0.19244277,-0.51468635
-0.66094434,-0.65592355,-0.3731763,-0.3678618,0.76660573,-0.076740086,-0.12845057,-0.5229392,-0.11809421,-0.19406532,0.5149212,-0.33212942,-0.24376598,-0.72385204,0.54835,-0.48639026
-0.5521139,0.28905228,0.40212244,0.69128954,0.054530296,0.025429398,0.38798898,-0.10542958,0.5767975,-0.032298878,0.61154604,-0.3801478,-0.18315305,0.4871998,-0.674973,-0.5619285
0.19936487,-0.37296048,-0.53024703,0.08829139,0.20361564,0.5722163,0.57672435,0.5319772,-0.17090514,-0.18740717,-0.5148469,-0.52594984,-0.519862,-0.4801177,-0.45090443,-0.5721129
0.42829382,-0.25685355,0.4320992,0.40336153,-0.25666252,0.24740107,-0.45349014,-0.29483023,0.23754293,-0.3304346,-0.40812707,0.32667515,0.31116912,-0.24983656,-0.55857337,-0.47915137
0.71252114,0.504903,-0.07887514,0.54138756,0.642785,-0.15069881,-0.40335476,0.61186695,-0.038806356,-0.46501204,-0.5861607,-0.5521057,0.31631038,-0.52171594,0.46722978,0.20239866
0.7391055,0.19338343,0.5264582,-0.24831153,0.07478567,0.5101993,-0.8541467,0.5616766,-0.42755502,-0.6074738,0.017577384,-0.18011914,0.66323376,0.34046972,0.8310385,-0.29236296
-0.33769283,-0.4516294,0.48664218,0.5157308,0.8090091,-0.4520332,0.68090826,0.5607471,0.10823877,-0.5077011,0.569721,0.5261271,-0.39401335,0.65469056,0.10629662,0.15658455
0.49925372,0.5170476,0.3818658,0.43874148,0.045203064,-0.32349622,0.5289083,0.27495626,0.3843577,-0.10778648,0.35639384,0.63490313,-0.3792095,-0.44142228,0.46717978,-0.636562
0.3618436,-0.30088422,-0.3862485,0.4900776,0.22016901,-0.27422276,0.54803437,-0.382767,-0.019718483,0.35756212,0.052409023,0.42272687,-0.52269256,0.7033084,-0.18892288,0.33185625
-0.3494435,0.21288264,-0.37871245,0.3477683,-0.38931137,0.44169605,0.43488988,0.44768584,-0.4300482,-0.19809851,-0.3991709,0.46381038,0.16826586,0.38822448,0.19690871,-0.50404054
-0.48124194,-0.61087143,0.09442383,0.46998498,-0.1574378,0.43512613,-0.30594558,0.16276793,0.8466881,-0.07987994,0.079928905,-0.11728174,0.8826024,0.5988986,0.8261061,-0.57920796
-0.29385194,0.22135834,0.5024108,0.41475686,0.47952515,0.114366725,-0.6550232,0.18000469,0.02260477,-0.2894824,0.013389511,-0.16663298,-0.39627194,-0.54675424,-0.7046913,-0.24362765
0.15499318,0.40138876,0.49652284,0.16212428,0.084426664,0.49376222,0.41127673,-0.3733057,0.6057622,-0.41726017,0.54231983,-0.027282164,-0.56193525,0.6288487,-0.52489954,0.5449207
-0.7869953,0.51024544,0.46154457,-0.4988851,0.57631195,1.1493098,-0.66234094,-0.24886534,-1.0511489,0.8993749,-0.5072842,0.23995666,0.7272189,0.04229407,0.4088239,0.4947223
-0.22902429,-0.25174972,-0.26942146,0.26223513,0.037754174,-0.12778126,-0.5646909,-0.26782075,0.31120172,0.17078519,-0.22120614,0.27045915,0.42133513,-0.10112053,0.17065015,0.16675723
-0.3112649,0.41340834,-0.38821983,-0.3933199,-0.42968643,0.42312717,-0.23414463,0.32802555,0.30683985,-0.4165085,-0.47674757,0.5294465,0.4132758,0.4735762,-0.5386274,0.43034443
-0.62453216,-0.33066356,-0.72366774,0.61553675,-0.18000104,-0.51354,0.6610708,-0.31028613,-0.88797337,-0.8469036,-0.39981264,-0.828328,0.3078379,0.6230093,0.64625674,0.55116475
0.35217333,-0.78573346,0.46599716,-0.10121474,0.6649791,0.5052681,-0.62236094,-0.3349709,-0.6241703,-0.5603422,0.2508523,-0.4083327,-0.5150055,-0.053881146,-0.11306051,0.04642044
